Event,SCT 2026,,,,,,,,,,,,,,,,,,,,,,,,Version,,,,2,
Round,1,,,,,,,Moderator,,,,,,John Smith,,,,,,,Room,,1,,,,,,,
Teams,T1,,,,,,,,,,,,,,TU Number,T2,,,,,,,,,,,,,,
Players,Jim,James,Jimothy,Jarles,,,,,Bonus Parts,,,Bonus Points,Question Total,Cuml. Score,,Tim,Tames,Timothy,Tarles,,,,,Bonus Parts,,,Bonus Points,Question Total,Cuml. Score,Issues
Running Scores,15,,,,,,,,1,0,1,20,35,35,1,,,,,,,,,,,,,,,
,,15,,,,,,,1,0,0,10,25,60,2,,,,,,,,,,,,,,,
,,,15,,,,,,1,0,1,20,35,95,3,,,,,,,,,,,,,,,
,,,,15,,,,,1,0,1,20,35,130,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,15,,,,,,,,1,0,0,10,25,25,
,,,,,,,,,,,,,,,6,,15,,,,,,,1,0,0,10,25,50,
,,,,,,,,,,,,,,,7,,,15,,,,,,1,0,0,10,25,75,
,,,,,,,,,,,,,,,8,,,,15,,,,,1,0,0,10,25,100,
,10,,,,,,,,1,0,0,10,20,150,9,,,,-5,,,,,,,,,-5,95,
,,10,,,,,,,1,0,0,10,20,170,10,,,-5,,,,,,,,,,-5,90,
,,,10,,,,,,1,0,0,10,20,190,11,,-5,,,,,,,,,,,-5,85,
,,,,10,,,,,1,0,0,10,20,210,12,-5,,,,,,,,,,,,-5,80,
,-5,,,,,,,,,,,,-5,205,13,15,,,,,,,,1,1,0,20,35,115,
,,-5,,,,,,,,,,,-5,200,14,,15,,,,,,,1,1,0,20,35,150,
,,,-5,,,,,,,,,,-5,195,15,,,15,,,,,,1,1,0,20,35,185,
,,,,-5,,,,,,,,,-5,190,16,,,,15,,,,,1,1,0,20,35,220,
,,,,,,,,,,,,,,,17,,,10,,,,,,0,0,0,0,10,230,
,,,,,,,,,,,,,,,18,,10,,,,,,,0,0,0,0,10,240,
,,,,,,,,,,,,,,,19,10,,,,,,,,0,0,0,0,10,250,
,,,,10,,,,,1,1,1,30,40,230,20,,,,,,,,,,,,,,,
,,,10,,,,,,1,1,1,30,40,270,21,,,,,,,,,,,,,,,
,,10,,,,,,,1,1,1,30,40,310,22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
Final Score,310,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,
TUH,22,22,22,22,,,,,,,,,,,,22,22,22,22,,,,,,,,,,,
No. of 15s,1,1,1,1,0,0,0,0,,,,,,,,2,2,2,2,0,0,0,0,,,,,,,
No. of 10s,1,2,2,2,0,0,0,0,,,,,,,,1,1,1,0,0,0,0,0,,,,,,,
No. of -5s,1,1,1,1,0,0,0,0,,,,,,,,1,1,1,1,0,0,0,0,,,,,,,
TU Points,20,30,30,30,0,0,0,0,,,,,,,,35,35,35,25,0,0,0,0,,,,,,,
Subtotals,110,,,,,,,,,,,200,,,,130,,,,,,,,,,,120,,,
